NPC,r_n107_56nm,r_n107_60nm,r_n107_4nm,r_n107_0nm,SSE_n107_56nm,SSE_n107_60nm,SSE_n107_4nm,SSE_n107_0nm,SSE_l_n107_56nm,SSE_l_n107_60nm,SSE_l_n107_4nm,SSE_l_n107_0nm,SSE_a_n107_56nm,SSE_a_n107_60nm,SSE_a_n107_4nm,SSE_a_n107_0nm,Cx_n107_56nm,Cy_n107_56nm,Cz_n107_56nm,Cx_n107_60nm,Cy_n107_60nm,Cz_n107_60nm,Cx_n107_4nm,Cy_n107_4nm,Cz_n107_4nm,Cx_n107_0nm,Cy_n107_0nm,Cz_n107_0nm,Tx_n107_56nm,Ty_n107_56nm,Tz_n107_56nm,Tx_n107_60nm,Ty_n107_60nm,Tz_n107_60nm,Tx_n107_4nm,Ty_n107_4nm,Tz_n107_4nm,Tx_n107_0nm,Ty_n107_0nm,Tz_n107_0nm,el_minor_n107_56nm,el_minor_n107_60nm,el_minor_n107_4nm,el_minor_n107_0nm,el_major_n107_56nm,el_major_n107_60nm,el_major_n107_4nm,el_major_n107_0nm,el_q_n107_56nm,el_q_n107_60nm,el_q_n107_4nm,el_q_n107_0nm,el_rot_n107_56nm,el_rot_n107_60nm,el_rot_n107_4nm,el_rot_n107_0nm,el_ssum_n107_56nm,el_ssum_n107_60nm,el_ssum_n107_4nm,el_ssum_n107_0nm,el_ssumXY_n107_56nm,el_ssumXY_n107_60nm,el_ssumXY_n107_4nm,el_ssumXY_n107_0nm,el_ssumZ_n107_56nm,el_ssumZ_n107_60nm,el_ssumZ_n107_4nm,el_ssumZ_n107_0nm,eCx_n107_56nm,eCy_n107_56nm,eCz_n107_56nm,eCx_n107_60nm,eCy_n107_60nm,eCz_n107_60nm,eCx_n107_4nm,eCy_n107_4nm,eCz_n107_4nm,eCx_n107_0nm,eCy_n107_0nm,eCz_n107_0nm,eTx_n107_56nm,eTy_n107_56nm,eTz_n107_56nm,eTx_n107_60nm,eTy_n107_60nm,eTz_n107_60nm,eTx_n107_4nm,eTy_n107_4nm,eTz_n107_4nm,eTx_n107_0nm,eTy_n107_0nm,eTz_n107_0nm
0,54.744878355591005,57.66123796924998,54.440902979210094,57.24027805476733,52.183217442918505,31.47430794368378,45.04854441447555,54.63187423019891,4.642765587543343,4.653732077672995,3.6593550171967526,5.242923424997248,47.54045185537516,26.820575866010785,41.3891893972788,49.38895080520166,-1.0395597845686657,5.7726440797235385,56.26298061197903,-0.8490841185357866,5.29276216690271,60.33255223216199,0.7384929983710189,10.214629349947005,4.7561808696145835,1.311398373361396,9.413178487970377,0.8450233123928119,-0.2330014586404959,0.19552093178484953,-0.9526184364714896,-0.23509162790860327,0.19951141569238817,-0.9512765746593899,-0.16980057674499416,-0.06373943738620957,0.98341499289911,-0.17405888974688344,-0.07134125325371043,0.9821476103337381,51.9,55.7,49.8,50.5,59.2,61.4,59.7,65.0,0.88,0.91,0.83,0.78,-0.394,-0.088,-0.189,-0.3,167.1,185.6,52.6,57.2,119.6,158.8,11.2,7.8,47.5,26.8,41.4,49.4,-1.017611173497548,5.6631277557145285,56.23513442394088,-0.7838696822435995,4.9663661078528225,60.24798049986916,0.7685099782998805,10.202418933119299,4.76057231720934,1.3563687424269655,9.465933202365427,0.856825082136065,-0.2330014586404959,0.19552093178484953,-0.9526184364714896,-0.23509162790860327,0.19951141569238817,-0.9512765746593899,-0.16980057674499416,-0.06373943738620957,0.98341499289911,-0.17405888974688344,-0.07134125325371043,0.9821476103337381
1,54.478613858975805,56.911447088578996,57.01216869326325,59.95367786273643,43.67164873966364,37.98503684673441,13.117946938696292,24.040105355265258,4.104553677301885,6.510767850675539,1.4205698726741898,1.4094149896961174,39.56709506236175,31.47426899605887,11.697377066022103,22.63069036556914,-1.2862193065750582,4.004193025253219,54.082472181076135,-1.41902567603951,5.529167694890569,57.60790425142364,6.457287328098648,-1.8170057590534412,6.917045528362527,8.14896926926513,-1.3223848393965045,2.843638347559418,-0.014677848774343506,0.25426542488576787,0.9670230888986143,-0.017500095524828906,0.25473512902033546,0.9668525020392793,0.0018420816896971514,0.08999845669106786,-0.9959402012813191,-0.00805986445369007,0.08814193720423302,-0.9960753171778092,50.6,49.5,55.7,58.9,59.3,66.3,58.5,61.2,0.85,0.75,0.95,0.96,-0.366,-0.378,-0.198,0.382,96.3,101.8,19.6,33.1,56.7,70.3,7.9,10.5,39.6,31.5,11.7,22.6,-1.4662398414917441,3.800881499863372,54.13319773019979,-1.7707734599181497,5.86789103430354,57.51229467996252,6.393847059438912,-1.8073174995016346,6.9178036725256264,8.084760797667041,-1.328589008121545,2.843608896099471,-0.014677848774343506,0.25426542488576787,0.9670230888986143,-0.017500095524828906,0.25473512902033546,0.9668525020392793,0.0018420816896971514,0.08999845669106786,-0.9959402012813191,-0.00805986445369007,0.08814193720423302,-0.9960753171778092
2,55.118273893323746,57.47288472954047,55.04396175551874,57.613199338893125,72.71157633088377,62.404222621713814,96.79151003536504,92.29343606837483,4.6936863136426705,4.398989515265057,2.5161180243213006,3.632765815963921,68.0178900172411,58.005233106448756,94.27539201104373,88.66067025241091,-1.992153810284614,0.6015413044992687,55.28282104199637,-3.5331025230251925,-0.0529808396217983,58.73436200557473,4.616942802589135,0.3682512839226285,2.876987234581807,4.655666288130829,-1.233644958067447,-0.8859493811176663,0.1635020472438366,-0.18972760324867666,-0.9681273248455429,0.16743485731237354,-0.18223263336015272,-0.968894646437583,-0.0899950276063708,-0.3166795791514253,-0.9442536413245142,-0.09972992060540335,-0.31321995161646243,-0.9444295658467187,49.0,51.8,52.8,54.2,62.1,63.9,57.7,61.9,0.79,0.81,0.91,0.88,-0.871,-0.776,-0.437,-0.345,78.5,68.6,120.3,137.1,10.5,10.6,26.0,48.5,68.0,58.0,94.3,88.7,-2.081383212457472,0.6515185013479212,55.257957325120465,-3.6020158231294794,-0.03303660238625746,58.718701913430074,4.75464215210432,0.31717949875791174,2.880991597928685,4.474614857576101,-1.307713954311757,-0.8422657294123613,0.1635020472438366,-0.18972760324867666,-0.9681273248455429,0.16743485731237354,-0.18223263336015272,-0.968894646437583,-0.0899950276063708,-0.3166795791514253,-0.9442536413245142,-0.09972992060540335,-0.31321995161646243,-0.9444295658467187
3,58.5989566622047,61.06480822118017,55.65446903078063,58.21981055812495,56.79302289846342,54.82755462109994,18.74125980030979,34.69879152987744,4.802909529056954,4.420558568927917,5.364446556461013,4.884576750400052,51.990113369406465,50.406996052172026,13.37681324384878,29.814214779477386,-5.599357807532581,-1.8435265324117693,56.21859841154841,-4.6281614961587225,-2.439556917643561,60.18223708620111,-6.03796626372089,-1.7118996351594429,2.789776382075176,-7.459796036748948,-1.0381977608921618,-1.1311070585336833,-0.11745669627225908,-0.0020340778418815875,-0.9930759220865941,-0.11613922669534725,-0.01283839057767222,-0.9931499663947947,0.07890410251829835,-0.035666579034699275,-0.9962439649733109,0.07674310671177316,-0.02534449869799471,-0.9967287253601015,52.4,56.2,50.8,54.6,65.6,66.8,62.0,63.2,0.8,0.84,0.82,0.86,0.441,0.824,1.221,-1.446,59.6,86.5,99.0,130.3,7.7,36.1,85.6,100.5,52.0,50.4,13.4,29.8,-5.584432787950953,-1.8147030421193067,56.21677410720824,-4.415184593634813,-2.44267432574175,60.15737180794914,-6.184254473614516,-1.8869753184456144,2.7844580168935846,-7.669548836935025,-1.2724609319478553,-1.1413002019993674,-0.11745669627225908,-0.0020340778418815875,-0.9930759220865941,-0.11613922669534725,-0.01283839057767222,-0.9931499663947947,0.07890410251829835,-0.035666579034699275,-0.9962439649733109,0.07674310671177316,-0.02534449869799471,-0.9967287253601015
4,55.90955700583352,58.70297920914033,57.627337296432785,60.26787001449563,53.619419250233605,70.01628633791837,24.311425548144147,51.889785120874166,9.64770424850039,8.404275515253229,1.4763461293063345,1.833895621276931,43.971715001733216,61.61201082266514,22.83507941883781,50.055889499597235,5.2539603745507115,-11.398755062100552,55.095489704328266,6.161912480684148,-10.781463024900694,59.14239570782665,6.077404424578554,6.732817734374402,4.910138711228826,5.458271553687458,8.20777179822857,0.8001605259581712,-0.13365140444555398,0.08954862060075941,0.9869743394021101,-0.11607964749943026,0.0913273929758005,0.9890322657672254,0.01581056017123519,0.0373768684612541,-0.9991761585882151,0.007791435589960278,0.053878660650612836,-0.9985170922212318,44.6,49.0,56.9,57.7,71.6,71.4,58.5,62.9,0.62,0.69,0.97,0.92,-1.398,-1.475,1.378,-0.737,107.4,134.8,38.1,50.4,63.5,73.1,15.2,0.3,44.0,61.6,22.8,50.1,4.814447117782577,-10.47701737253898,54.95234322416643,5.722426505254345,-10.393263409232834,59.05496819008545,5.898777305037864,6.6044907376732676,4.902511771742794,5.309103222628213,8.105589232347322,0.7934829284618661,-0.13365140444555398,0.08954862060075941,0.9869743394021101,-0.11607964749943026,0.0913273929758005,0.9890322657672254,0.01581056017123519,0.0373768684612541,-0.9991761585882151,0.007791435589960278,0.053878660650612836,-0.9985170922212318
5,56.25398423068282,59.03408050106397,56.393359037100666,59.002670825523715,44.6633292727412,45.68759476589384,19.942327320177558,9.745181289642343,5.038681150242836,4.220054612484007,4.045619008689595,3.7133722205891675,39.624648122498364,41.467540153409836,15.896708311487963,6.031809069053176,4.471509382441827,5.238461208813895,57.517298569131256,3.996690074006331,1.77308413646803,60.40608235347485,-6.839624897871286,-1.79660402076183,4.346066173341789,-7.684862332255629,-3.0168530366428152,0.29418575818246884,-0.21241373946882566,-0.12136209118885999,0.9696141738377881,-0.22689121796134035,-0.11470102949172034,0.9671422072505983,0.06700103443870212,-0.035904673878266125,0.9971066722160871,0.06213396922578166,-0.03453630403192065,0.997470106605739,51.2,54.3,52.1,54.5,62.6,64.5,61.5,64.1,0.82,0.84,0.85,0.85,1.118,1.307,1.161,1.205,98.4,79.0,50.3,21.7,58.8,37.5,34.4,15.6,39.6,41.5,15.9,6.0,4.67046779700539,5.342676686796333,57.57392862947897,4.079334490110066,1.7148831883455087,60.4185681942022,-6.702738191225367,-1.8794686205126918,4.333884149377097,-7.5799090416431945,-3.036716263258369,0.28696031161040847,-0.21241373946882566,-0.12136209118885999,0.9696141738377881,-0.22689121796134035,-0.11470102949172034,0.9671422072505983,0.06700103443870212,-0.035904673878266125,0.9971066722160871,0.06213396922578166,-0.03453630403192065,0.997470106605739
6,55.34722747219274,58.13702056822364,56.26370810817931,58.80137532178439,37.52657622972794,21.446885273708606,140.9536550049462,126.82059884563652,4.56808955640104,3.0575457791630702,5.689860232761452,5.817135883645672,32.958486673326895,18.389339494545535,135.26379477218475,121.00346296199085,7.276788570302891,-3.8673279960369333,57.994640201847936,5.967059447331466,-3.3119031240196817,62.09415882006612,-14.780993787897911,-3.2766075169088182,3.309865927050294,-16.120082538334465,-2.386776008466147,-1.1230054415575697,-0.1462324181022139,-0.16648851662689546,-0.9751398123999221,0.1365212545480165,0.18013203985875392,0.9741223718162724,0.03213538446836098,-0.21323481821252177,0.9764723392738492,0.025702417378465837,-0.20800644862484946,0.9777897028867613,50.1,54.3,49.0,51.7,61.5,62.4,64.8,67.3,0.81,0.87,0.76,0.77,1.28,0.55,-0.178,-0.174,62.1,29.2,151.0,150.5,29.1,10.8,15.7,29.5,33.0,18.4,135.3,121.0,7.215516062716221,-3.8140162604403844,57.99472658450634,5.950500626024841,-3.2860929446223044,62.091706757292016,-14.791000221767394,-3.0276544891500876,3.364559759193926,-16.344155843439914,-2.196310240337925,-1.0765973708955665,-0.1462324181022139,-0.16648851662689546,-0.9751398123999221,0.1365212545480165,0.18013203985875392,0.9741223718162724,0.03213538446836098,-0.21323481821252177,0.9764723392738492,0.025702417378465837,-0.20800644862484946,0.9777897028867613
7,57.85079432464315,60.0373226806683,56.87639988534535,59.762097909498394,10.713567982435046,8.15908572667907,35.418362378184355,54.59243853044773,1.2172355265359898,1.8768296732997825,7.351077260619721,5.807569070628971,9.496332455899056,6.282256053379288,28.067285117564637,48.78486945981876,9.268362459796867,-8.414524331594588,56.22330341100232,10.179071928809883,-6.559411993298992,59.69617642333697,4.448666375800101,-9.854538881532601,5.364411975223182,3.335134679658976,-10.514258302431235,1.4085700992419397,-0.15712590085790823,0.15268734768363967,0.9757038613928543,0.1482840517386509,-0.15161041194111458,-0.9772543798781437,-0.10659234139750508,-0.05768005550154842,-0.9926283715231676,-0.10268834793836587,-0.05547619276114191,-0.993165391681777,56.3,57.5,50.9,54.2,59.5,62.7,65.5,66.9,0.95,0.92,0.78,0.81,-1.102,-0.723,-0.06,-0.085,10.8,7.4,191.6,144.8,1.3,1.1,163.5,96.0,9.5,6.3,28.1,48.8,9.01559683965681,-8.191993919385315,56.147774752045905,9.983762462320081,-6.437381876090697,59.64760942138697,4.639643719835385,-9.696901670785048,5.334744028825039,3.6253243217034856,-10.362899906944806,1.3701113664122349,-0.15712590085790823,0.15268734768363967,0.9757038613928543,0.1482840517386509,-0.15161041194111458,-0.9772543798781437,-0.10659234139750508,-0.05768005550154842,-0.9926283715231676,-0.10268834793836587,-0.05547619276114191,-0.993165391681777
8,54.54934203081007,57.406451768568964,56.082731973857065,58.98287898992557,22.061526127172254,32.747247415820695,89.46059692493286,69.31554252926462,8.00786691707801,6.98568385815879,6.0625387101946195,5.00265078949188,14.053659210094244,25.76156355766191,83.39805821473824,64.31289173977274,2.152485471289114,-4.055975084114785,55.634324504318975,2.8835772378040834,-6.751151806792052,59.235284835645665,-2.5479286169063675,-1.006527673003795,8.356348334037545,-3.0909702292769654,-3.4593795086595662,4.755422040411048,-0.20954428660224664,0.01412823533141927,-0.9776970823924838,-0.21298110965222472,0.018265910462382018,-0.9768855631271698,0.061011816898420286,0.17790979247615235,0.9821535847004002,0.06685168103046155,0.16309339300970338,0.9843431301634527,45.8,48.5,48.6,53.2,66.3,68.5,65.2,65.9,0.69,0.71,0.74,0.81,0.118,0.002,-0.121,-0.114,91.4,53.6,109.4,111.6,77.3,27.8,26.0,47.3,14.1,25.8,83.4,64.3,2.4079225242657083,-4.169807678359201,55.57793318464487,3.054381105808109,-6.759846319975497,59.19788351463243,-2.6978401089557873,-0.9429930944309632,8.354152087728755,-3.3188008987899322,-3.21798387651542,4.73089891558072,-0.20954428660224664,0.01412823533141927,-0.9776970823924838,-0.21298110965222472,0.018265910462382018,-0.9768855631271698,0.061011816898420286,0.17790979247615235,0.9821535847004002,0.06685168103046155,0.16309339300970338,0.9843431301634527
9,56.018922996379665,58.064619835435714,55.460868234993825,58.282866851823314,29.724605833504935,37.732185112825825,17.106456954998848,29.7081456232077,6.423856819021373,8.527178535748536,4.090068401003138,4.7812957004301175,23.30074901448356,29.205006577077288,13.016388553995709,24.92684992277758,-4.820959794888629,2.723319943465688,56.92105589119417,-6.90653000679613,2.6144932762421784,60.6434580771463,-0.00433928494052106,6.491137648149771,5.772671126498414,0.2196555207601129,8.464603335169373,1.9140339899313035,-0.051497632617666045,0.01932902315098184,0.9984860453200161,-0.04960913839358442,0.00513741524359812,0.9987554957808549,-0.014993877703165372,0.21352979100039937,-0.9768214841959344,-0.012417578106040635,0.22149226457120383,-0.9750830633792694,48.7,50.2,51.3,53.4,65.4,69.5,60.5,64.4,0.74,0.72,0.85,0.83,-1.406,-1.464,0.921,0.797,97.0,212.6,54.5,83.6,73.7,183.4,41.4,58.7,23.3,29.2,13.0,24.9,-4.5116584809969495,2.410230183746601,56.94306922302582,-6.786034144126578,2.1806153463908644,60.65167501017182,-0.17227120766318782,6.6781828189874535,5.816136250510622,0.08065661550349343,8.594418722270198,1.9452919770428816,-0.051497632617666045,0.01932902315098184,0.9984860453200161,-0.04960913839358442,0.00513741524359812,0.9987554957808549,-0.014993877703165372,0.21352979100039937,-0.9768214841959344,-0.012417578106040635,0.22149226457120383,-0.9750830633792694
