NPC,r_CR,r_NR,SSE_CR,SSE_NR,SSE_l_CR,SSE_l_NR,SSE_a_CR,SSE_a_NR,Cx_CR,Cy_CR,Cz_CR,Cx_NR,Cy_NR,Cz_NR,Tx_CR,Ty_CR,Tz_CR,Tx_NR,Ty_NR,Tz_NR,el_minor_CR,el_minor_NR,el_major_CR,el_major_NR,el_q_CR,el_q_NR,el_rot_CR,el_rot_NR,el_ssum_CR,el_ssum_NR,el_ssumXY_CR,el_ssumXY_NR,el_ssumZ_CR,el_ssumZ_NR,el_Cx_CR,el_Cy_CR,el_Cz_CR,el_Cx_NR,el_Cy_NR,el_Cz_NR,el_ Tx_CR,el_ Ty_CR,el_ Tz_CR,el_ Tx_NR,el_ Ty_NR,el_ Tz_NR
0,56.20389328563054,55.840984085285484,143.8102349928783,156.42851633026018,4.87955468092965,4.747917691158693,138.93068031194863,151.68059863910148,-0.9443219515522226,5.532703123313077,58.297766422070495,1.04231717215489,9.747883099451487,2.7993224262543124,-0.23453497641608087,0.19777478674432825,-0.9517764856129526,-0.17209163999334876,-0.06828349644357856,0.9827114691290824,54.2,50.1,60.1,62.6,0.9,0.8,-0.235,-0.261,463.1,217.8,324.1,66.1,138.9,151.7,-0.9289743124329194,5.3464045005437395,58.25527248659382,1.0743923329741876,9.784887857886964,2.807510670283457,-0.23453497641608087,0.19777478674432825,-0.9517764856129526,-0.17209163999334876,-0.06828349644357856,0.9827114691290824
1,55.695207680798,58.485691988141255,134.41574501194927,104.23395026842759,5.588173626473175,2.1284222286890837,128.8275713854761,102.1055280397385,-1.35293190580614,4.608960483116484,55.886653792871684,7.303128298681889,-1.5696952992249773,4.8803419379609725,-0.01621047284611903,0.25394719379381436,0.9670822319401552,-0.004326417272993413,0.08898795940348725,-0.996023305548009,50.0,57.5,63.2,59.8,0.79,0.96,-0.371,0.125,311.7,162.7,182.9,60.6,128.8,102.1,-1.633834041619703,4.853120736375077,55.817830930246544,7.320186846974098,-1.575911398544088,4.879712474384821,-0.01621047284611903,0.25394719379381436,0.9670822319401552,-0.004326417272993413,0.08898795940348725,-0.996023305548009
2,56.298384553082755,56.32813078278147,179.48995239682006,252.74872496455578,4.733923049767167,3.382318513652607,174.7560293470529,249.36640645090316,-2.877111891656641,0.22406023772647266,56.99877030257512,4.523678976034815,-0.45534224361544373,1.0149223022798195,0.1649330040672366,-0.18658583609240198,-0.9684951367658261,-0.09526247664687391,-0.31456097528459437,-0.9444450504773206,50.6,53.5,63.0,59.9,0.8,0.89,-0.827,-0.363,225.2,356.7,50.5,107.3,174.8,249.4,-2.8802343532976002,0.24110801396398346,56.99495420642655,4.63963374915765,-0.5155739216684928,1.0232874226440951,0.1649330040672366,-0.18658583609240198,-0.9684951367658261,-0.09526247664687391,-0.31456097528459437,-0.9444450504773206
3,59.83233418043487,56.942587454851335,173.4473324512262,106.22539550422178,4.789108752535643,5.310130896066047,168.65822369869056,100.91526460815574,-5.028206489921236,-2.185403874531536,58.190715713534956,-6.7488811502349195,-1.3750486980257968,0.8293346617707463,0.11648464354116603,0.008156451163311651,0.9931590004241558,0.07881754003810935,-0.030973484438504673,-0.9964077672539887,54.6,53.2,66.1,62.4,0.83,0.85,-0.506,1.454,253.6,337.1,84.9,236.2,168.7,100.9,-4.994772288111228,-2.16588622610605,58.186634024878465,-7.064648586433854,-1.5940889562376825,0.8111658225553513,0.11648464354116603,0.008156451163311651,0.9931590004241558,0.07881754003810935,-0.030973484438504673,-0.9964077672539887
4,57.31288866964134,58.948745523550784,178.4438109525135,146.72532914399562,9.148951870992894,2.1827331330018502,169.2948590815206,144.54259601099378,5.219316471214192,-11.092917075151416,57.05722239926793,5.767837989132923,7.470294766301355,2.8551496185934915,-0.1253177092925381,0.09044552933091099,0.9879853632325339,0.012091697815429622,0.04497643647684918,-0.9989148667458023,47.1,57.5,71.2,60.7,0.66,0.95,-1.437,-1.07,361.3,201.4,192.0,56.8,169.3,144.5,5.337882112978063,-10.447225472274903,57.01315135752944,5.597530667639359,7.377985089369428,2.8489318064507843,-0.1253177092925381,0.09044552933091099,0.9879853632325339,0.012091697815429622,0.04497643647684918,-0.9989148667458023
5,57.65274618586534,57.7005596760863,131.35823565439716,91.88037740673563,4.984060537878804,4.12647011857096,126.37417511651836,87.75390728816467,4.2341051541495744,3.5057726002428575,58.96169168691513,-7.262243615063457,-2.4067285287023252,2.3201259657621294,-0.22031115554796524,-0.11628026587969198,0.9684740030109577,-0.06413335170748725,0.03592470179097529,-0.9972945046474453,53.1,53.4,63.5,62.9,0.84,0.85,1.23,0.934,282.8,169.6,156.4,81.8,126.4,87.8,4.404060008917488,3.323163879278567,58.978428491175066,-7.169994983065652,-2.5215392871158384,2.3100579706292366,-0.22031115554796524,-0.11628026587969198,0.9684740030109577,-0.06413335170748725,0.03592470179097529,-0.9972945046474453
6,56.74571296874587,57.53441892210295,118.17988395924698,345.7233734059369,4.177165119159006,5.911706261910885,114.00271884008798,339.81166714402605,6.519516003779723,-3.588319871482382,60.05911561082841,-15.349622470402299,-2.831341707467254,1.090185582866536,0.1422284150360169,0.17384161048943558,0.9744486504781984,-0.027949535530107286,0.21061379429256732,-0.9771697156161459,52.5,50.4,61.9,66.2,0.85,0.76,0.48,0.439,201.6,413.8,87.6,74.0,114.0,339.8,6.526197700167617,-3.5611810880357964,60.0532988067256,-15.630390893141278,-2.618558438505088,1.1440784100833181,0.1422284150360169,0.17384161048943558,0.9744486504781984,-0.027949535530107286,0.21061379429256732,-0.9771697156161459
7,58.94828712582638,58.32051452403358,68.3277668680421,150.41826789584513,2.0388016507075775,6.7867244276035334,66.28896521733452,143.6315434682416,9.725814484637274,-7.310404667315715,57.93269746440076,4.143318260442136,-10.04058879765825,3.3519559883175867,-0.1532897065166237,0.15138408606875497,0.9765168326051401,-0.10414314437578708,-0.056384088729844906,-0.9929627586257347,57.0,52.7,61.2,66.2,0.93,0.8,-0.946,-0.072,99.7,446.5,33.4,302.9,66.3,143.6,9.552572128164883,-7.2785337093865845,57.90056179118925,4.090622699104892,-10.043705402470891,3.3576597353366973,-0.1532897065166237,0.15138408606875497,0.9765168326051401,-0.10414314437578708,-0.056384088729844906,-0.9929627586257347
8,55.98097345147157,57.53563204526424,102.96343722229905,218.75765824827735,7.719357752448665,5.776544808714524,95.24407946985039,212.98111343956282,2.628497407606581,-5.289570709594759,57.413041150039795,-2.9166546119811274,-2.232420277647443,6.561827011027696,0.21146650192714003,-0.01450458295198409,0.9772776144147003,-0.06389904139792502,-0.16868284759991548,-0.9835969751041379,47.5,51.2,67.3,65.5,0.71,0.78,-0.208,-0.612,253.9,339.2,158.6,126.2,95.2,213.0,2.716183476999834,-5.607074593221362,57.38935501680749,-3.0635932967436013,-2.16753099162721,6.56024458602699,0.21146650192714003,-0.01450458295198409,0.9772776144147003,-0.06389904139792502,-0.16868284759991548,-0.9835969751041379
9,57.051864371307055,56.87299609833451,120.11055111907014,113.35272907608072,7.61629871809256,4.6845944352177495,112.49425240097757,108.66813464086297,-5.32610227888359,2.839691549603635,58.80669086961003,0.10765811790979174,7.477870491659573,3.8433525582148604,-0.04919649187199471,0.011989290471336123,0.9987171582092116,-0.01391615697507996,0.21693898405817147,-0.9760859684325215,49.6,52.4,67.6,62.5,0.73,0.84,-1.44,0.854,392.9,247.4,280.4,138.8,112.5,108.7,-5.7142650936090975,2.29210304041296,58.794143722541214,-0.030259321429873864,7.683095746321616,3.890930989302742,-0.04919649187199471,0.011989290471336123,0.9987171582092116,-0.01391615697507996,0.21693898405817147,-0.9760859684325215
