NPC,c_r,c_sse,c_sselat,c_sseax,c_x0,c_y0,c_z0,c_tilt_x,c_tilt_y,c_tilt_z,el_major,el_minor,el_q,el_rot,el_ssum,el_ssumXY,el_ssumZ,ce_x0,ce_y0,cez0,e_tilt_x,e_tilt_y,e_tilt_z
0,37.1156521466595,48.12482971135428,5.027749120396756,43.097080590957525,0.39426378982059834,7.070656281913189,17.465633782255527,-0.20338367316937314,0.06962214261450678,0.018126059934811645,43.525,32.875,0.7575,-0.33325,124.525,81.44999999999999,43.1,0.4778419199385838,7.018562988469986,17.418743546311138,-0.20338367316937314,0.06962214261450678,0.018126059934811645
1,41.50660067797804,31.123378033778387,3.474330704113301,27.649047329665084,2.473369635780358,1.8699147397959655,17.206601298620324,-0.015275555139653488,0.1725862036791567,-0.012726577972018455,45.75,38.6,0.8525,0.15600000000000003,71.72500000000001,44.1,27.650000000000002,2.2753076290392453,1.8565435175867093,17.202791655024317,-0.015275555139653488,0.1725862036791567,-0.012726577972018455
2,42.94613331837924,94.94857458113204,4.0684139857604835,90.88016059537155,0.7782528346047173,0.5995008187931975,16.1850505381518,0.038762978943136864,-0.2732003079360319,-0.9484139619984376,48.699999999999996,38.225,0.7849999999999999,-0.45575,114.625,23.725,90.875,0.779136810386905,0.5710751654246881,16.186213619205027,0.038762978943136864,-0.2732003079360319,-0.9484139619984376
3,37.072178130130666,39.97002340355519,4.5569344832559935,35.413088920299195,-6.760654745815389,-1.9312940275898849,16.54785376498499,-0.027993003721104685,-0.025351933221137435,-0.9946599352156628,42.75,32.95,0.7725,0.5355,89.1,53.7,35.449999999999996,-6.597746612213792,-1.998315208358807,16.523049576959966,-0.027993003721104685,-0.025351933221137435,-0.9946599352156628
4,45.3990139904341,44.95741038008812,5.612786125239471,39.344624254848654,6.03146843579476,-4.557052244702827,16.58913504361248,-0.04726657712437046,0.06686866091914187,-0.007916878002198507,54.275,39.2,0.735,-1.1405,84.75,45.4,39.35,5.901641278275926,-4.0802012177817755,16.528109662964944,-0.04726657712437046,0.06686866091914187,-0.007916878002198507
5,36.106518224976725,31.338601075425554,4.45513731013643,26.883463765289125,-1.3084611139131566,1.9565876600648309,17.87941211741932,-0.06393287664603316,-0.07574289398124687,0.9809540646930839,41.875,31.825,0.7575000000000001,1.1635,71.7,44.825,26.9,-1.1269422751132072,1.963073011946018,17.89023697742259,-0.06393287664603316,-0.07574289398124687,0.9809540646930839
6,41.2567849869938,89.68309217483726,4.777465472971977,84.90562670186529,-1.5172098228161452,-2.552887606081796,18.10416591890947,0.02144986687226299,-0.11748025933969106,0.48344933550881836,48.25,35.699999999999996,0.7424999999999999,0.39775000000000005,110.775,25.875000000000004,84.9,-1.7460097191443844,-2.4646908269533405,18.137236821414277,0.02144986687226299,-0.11748025933969106,0.48344933550881836
7,35.191841301340915,26.654620525567353,3.9696494980240935,22.684971027543263,7.478052347560782,-9.875193044439879,17.669267815391322,-0.05078753730797792,-0.03677141736121282,-0.4975141961881913,40.199999999999996,31.7,0.7925,-0.31525000000000003,83.4,60.699999999999996,22.675,7.425954055158114,-9.663514686059395,17.63567488234053,-0.05078753730797792,-0.03677141736121282,-0.4975141961881913
8,39.10910650604249,44.32567688622857,7.218971015505384,37.10670587072319,-0.07152182231559023,-2.9121862187236625,18.67496791485772,-0.08328768739937675,0.0846706531786858,7.87094617941686e-05,50.099999999999994,31.725,0.6325,0.228,111.475,74.375,37.1,-0.22249979632277594,-3.201024358888052,18.70551603530393,-0.08328768739937675,0.0846706531786858,7.87094617941686e-05
9,39.74716341413147,28.12835300002839,5.69387699504674,22.43447600498165,-2.8525722368766333,4.910594339229128,18.378592779123508,-0.0209851707515647,0.11486956317002342,0.007616647621068479,47.625,34.375,0.7250000000000001,-0.26075000000000004,111.72500000000001,89.325,22.425,-2.9207136383679417,4.697329787444529,18.404948882611922,-0.0209851707515647,0.11486956317002342,0.007616647621068479
10,30.50555070385301,18.346581054419513,6.254132703243979,12.092448351175532,-5.455275669129506,0.18820871469386324,14.400333799082293,0.0620755320903527,0.02692164277180077,-0.4948196395275649,39.0,25.85,0.6649999999999999,1.0275,137.9,125.75,12.075,-5.494163063693849,0.07514628508459109,14.426339095256461,0.0620755320903527,0.02692164277180077,-0.4948196395275649
11,43.487213230728486,58.492356410034354,5.813404048426357,52.678952361608,-0.2825110555042952,10.552711996567563,16.92677877932742,0.0393764400747533,-0.13425455845801987,0.020751134532603188,52.2,36.7,0.7024999999999999,0.21425000000000002,86.64999999999999,33.975,52.675000000000004,-0.3317415897483071,10.420644604141106,16.92271982377808,0.0393764400747533,-0.13425455845801987,0.020751134532603188
12,41.641569348553915,27.8559080695478,3.585637307449481,24.27027076209832,-5.946033369182118,3.895622287237293,16.083363632569124,-0.024042031475316597,0.08044892049307248,0.9947746103011215,46.400000000000006,37.7,0.815,0.6295,40.35,16.1,24.275,-5.75991712164492,3.8413688510943347,16.08519626067522,-0.024042031475316597,0.08044892049307248,0.9947746103011215
13,41.755953553377,34.49278061443217,4.242218270358879,30.250562344073295,4.151319394417034,-1.5641325544946252,16.04736287686398,-0.032536472973706015,-0.002779945255804342,-0.000685317315011813,46.150000000000006,38.9,0.8425,-0.62075,115.475,85.25,30.25,4.223376034601589,-1.4121953900604514,16.086143644917613,-0.032536472973706015,-0.002779945255804342,-0.000685317315011813
14,37.551146819725794,53.577530093098325,3.274015749075427,50.3035143440229,-1.2617992878738655,-3.8131933783555674,15.874670844796078,0.12497687450818537,0.024508178097785133,-0.4831999213861506,41.574999999999996,34.425,0.8275,0.284,88.15,37.825,50.3,-1.2182206391052324,-3.754122342205661,15.893514322682465,0.12497687450818537,0.024508178097785133,-0.4831999213861506
15,40.30250717935256,45.395212697752925,4.910421013892603,40.48479168386032,2.3691650692060398,0.350989178156499,15.178207325776732,-0.0587682307965226,-0.1146590861909532,0.9870743156718472,47.175000000000004,35.074999999999996,0.7450000000000001,0.61625,86.325,45.85,40.475,2.337423639890192,0.25714917883700894,15.163744727001538,-0.0587682307965226,-0.1146590861909532,0.9870743156718472
16,40.54123124223764,90.9833686456106,3.156264239268079,87.82710440634251,-1.1126163251956587,-4.841270159971416,20.03068652286063,-0.026942790203517114,-0.11358963202965122,-0.9917911130805875,44.699999999999996,37.025,0.83,1.3905,107.3,19.475,87.82499999999999,-1.086772460548725,-4.579018568529162,19.999773993975584,-0.026942790203517114,-0.11358963202965122,-0.9917911130805875
