NPC,r_CR,r_NR,SSE_CR,SSE_NR,SSE_l_CR,SSE_l_NR,SSE_a_CR,SSE_a_NR,Cx_CR,Cy_CR,Cz_CR,Cx_NR,Cy_NR,Cz_NR,Tx_CR,Ty_CR,Tz_CR,Tx_NR,Ty_NR,Tz_NR,el_minor_CR,el_minor_NR,el_major_CR,el_major_NR,el_q_CR,el_q_NR,el_rot_CR,el_rot_NR,el_ssum_CR,el_ssum_NR,el_ssumXY_CR,el_ssumXY_NR,el_ssumZ_CR,el_ssumZ_NR,el_Cx_CR,el_Cy_CR,el_Cz_CR,el_Cx_NR,el_Cy_NR,el_Cz_NR,el_ Tx_CR,el_ Ty_CR,el_ Tz_CR,el_ Tx_NR,el_ Ty_NR,el_ Tz_NR
0,56.75641358562444,56.381396449008,143.75664535864655,156.4560277459869,4.880164564373243,4.7521622040498235,138.8764807942733,151.70386554193706,-0.9453799256886378,5.535192262273988,58.29707517712823,1.0401101747006734,9.82092627158049,2.7887736331485296,-0.23446847867011292,0.1972725640967522,-0.9518970889570022,-0.17225292864918057,-0.06805389379956905,0.9826991381447823,54.8,50.7,60.6,63.2,0.9,0.8,-0.234,-0.264,463.2,218.1,324.3,66.4,138.9,151.7,-0.9310529142478262,5.351272728316033,58.25543043308219,1.0841808512869429,9.783141064974952,2.793881882944581,-0.23446847867011292,0.1972725640967522,-0.9518970889570022,-0.17225292864918057,-0.06805389379956905,0.9826991381447823
1,59.60415064619926,62.28224085989035,134.6244594647243,103.38937322077678,5.544813229527991,2.194139968367082,129.07964623519632,101.1952332524097,-1.3297170661659992,4.945147330973013,55.79712097724013,7.01792652005382,-1.5497211003219165,4.794484868346103,-0.016859501187479697,0.2554683652705485,0.9666704048256071,-0.0005402271414480547,0.08867133565847807,-0.9960607925157868,53.9,61.3,67.0,63.6,0.8,0.96,-0.373,0.022,311.2,167.0,182.1,65.8,129.1,101.2,-1.5856942047257436,4.877497583718385,55.810534777234274,7.0501686279402875,-1.5609739080160197,4.793465633819908,-0.016859501187479697,0.2554683652705485,0.9666704048256071,-0.0005402271414480547,0.08867133565847807,-0.9960607925157868
2,61.88764946474336,62.025120145658676,179.8659167905351,266.5113337331506,4.763521045131071,3.411729398647832,175.102395745404,263.09960433450277,-2.8603691260766344,0.3245495834885751,56.99091882322122,4.617272802762648,-0.16222029674219673,1.0555576449094877,0.16248348281206126,-0.18274580391241024,-0.9696407009638517,-0.093109156858618,-0.314425821109403,-0.9447047623087094,56.1,59.1,68.6,65.6,0.82,0.9,-0.824,-0.302,229.5,372.0,54.4,108.9,175.1,263.1,-2.8737418541516075,0.280823769622916,56.99691884113353,4.701811252885216,-0.22210327595550067,1.0671564549650183,0.16248348281206126,-0.18274580391241024,-0.9696407009638517,-0.093109156858618,-0.314425821109403,-0.9447047623087094
3,57.51020725282747,54.48298566480631,173.7428463620794,106.84172362103507,4.76397989463583,5.504190814682615,168.97886646744357,101.33753280635246,-5.215187397916965,-2.1823796345873867,58.216894785945634,-6.576850066354825,-1.4272457635897453,0.8922878398657549,0.11696394820379634,0.009368838125913048,0.9930919694030105,0.08019434917950541,-0.03342554658128105,-0.9962186502949127,52.3,50.6,63.8,60.3,0.82,0.84,-0.507,1.401,251.9,347.3,82.9,245.9,169.0,101.3,-4.999602835423524,-2.1849703059805696,58.19152820279297,-6.922405716821969,-1.6675196579520588,0.8725328149619207,0.11696394820379634,0.009368838125913048,0.9930919694030105,0.08019434917950541,-0.03342554658128105,-0.9962186502949127
4,63.92511403198927,65.51898267984241,180.18498908387795,139.03851979271866,9.167008634906118,2.136897698004779,171.01798044897183,136.90162209471387,5.606126865194556,-10.756750939697406,57.073098292060386,5.925652291581308,6.220088227154293,2.6373129673324143,-0.11237351175474396,0.08509387851666073,0.9900157704273695,0.021294132606083677,0.03110184537100613,-0.9992893650645306,53.5,64.8,77.7,66.6,0.69,0.97,-1.436,1.115,359.5,203.5,188.5,66.6,171.0,136.9,5.2475793812340275,-10.56066200562287,57.015546473655036,5.759136106342463,6.169830074285666,2.632200395131311,-0.11237351175474396,0.08509387851666073,0.9900157704273695,0.021294132606083677,0.03110184537100613,-0.9992893650645306
5,55.31980327345316,55.359470064372175,130.8450087844221,91.27084055546891,4.969863154385697,4.033389966746929,125.8751456300364,87.23745058872198,4.244711620449726,3.5611036960784315,58.96317802352851,-7.419376607533588,-2.952069243983652,2.256268263363774,-0.22075391284204546,-0.11507664947000529,0.9685169460116247,-0.06283430051318699,0.036151054247896774,-0.9973690149366904,50.8,51.1,61.2,60.4,0.83,0.85,1.232,0.906,281.4,164.4,155.5,77.1,125.9,87.2,4.421696821495307,3.274087339216558,58.96941569957546,-7.329938218571996,-3.0704451709816523,2.246342936809884,-0.22075391284204546,-0.11507664947000529,0.9685169460116247,-0.06283430051318699,0.036151054247896774,-0.9973690149366904
6,60.10868072519068,60.94570764926645,118.28928617539317,352.59490279981685,4.188414571471752,5.871753627837097,114.10087160392142,346.72314917197974,6.648490849206399,-3.5719945040381846,60.03357788898153,-14.716681041598466,-2.500017988297832,1.2529731629830214,0.14290356495192824,0.17449294647113356,0.9742334334007698,-0.025441205851714933,0.2125555913417308,-0.9768177238534208,55.8,53.9,65.3,69.4,0.86,0.78,0.481,0.407,203.0,423.2,88.9,76.5,114.1,346.7,6.547659794747463,-3.5459686573582023,60.04370666318506,-14.813960188255535,-2.517976018928493,1.2515991287163657,0.14290356495192824,0.17449294647113356,0.9742334334007698,-0.025441205851714933,0.2125555913417308,-0.9768177238534208
7,54.7768124891988,53.944071442816806,68.25441655985297,154.885135218491,2.008625951657027,6.792266731399335,66.24579060819595,148.09286848709166,9.566894571570499,-7.28874188071028,57.89278977439478,3.9987137147027516,-9.751643574480125,3.378973775478712,-0.15838321278385364,0.15416119465821154,0.9752687239780724,-0.10908509293671587,-0.05728403828177964,-0.9923804620492687,52.8,48.6,57.0,61.8,0.93,0.79,-0.934,-0.098,97.0,457.1,30.8,309.0,66.2,148.1,9.601483142754516,-7.253812814210468,57.89288568889251,4.206612306051708,-9.622520751351022,3.348667542081305,-0.15838321278385364,0.15416119465821154,0.9752687239780724,-0.10908509293671587,-0.05728403828177964,-0.9923804620492687
8,57.87928421765231,59.403891674044445,102.72504182921031,215.81693155860583,7.722846896119388,5.905209816172626,95.00219493309092,209.9117217424332,2.50690207121558,-5.264738080697242,57.441794346108644,-2.6847083059005725,-1.8795858025151198,6.435723661547238,0.20993998905993927,-0.02000857855614968,0.9775095179985076,-0.06441620256417378,-0.16897369663387396,-0.9835133159714183,49.3,52.9,69.1,67.5,0.71,0.78,-0.209,-0.608,252.1,339.8,157.0,129.9,95.0,209.9,2.7103246601102167,-5.574625837532541,57.391762148249896,-2.972475892231939,-1.9636605727569212,6.469015859346903,0.20993998905993927,-0.02000857855614968,0.9775095179985076,-0.06441620256417378,-0.16897369663387396,-0.9835133159714183
9,58.96234904965807,58.8119528523884,120.18485098453037,113.70425305172509,7.623800116991947,4.639438652464722,112.56105086753843,109.06481439926037,-5.816578662923175,2.6741681698436364,58.78448548578844,0.14767389371614412,7.476529284701978,3.847732432957742,-0.050439136368977885,0.00930308188740725,0.9986838069127524,-0.01491329315873649,0.21256248695305346,-0.9770336651454208,51.4,54.3,69.5,64.5,0.74,0.84,-1.441,0.878,391.6,242.3,279.0,133.2,112.6,109.1,-5.660075500030034,2.307865727747056,58.7958020065045,0.020686342506064104,7.672953531947313,3.8924046183983116,-0.050439136368977885,0.00930308188740725,0.9986838069127524,-0.01491329315873649,0.21256248695305346,-0.9770336651454208
