NPC,r_CR,r_NR,SSE_CR,SSE_NR,SSE_l_CR,SSE_l_NR,SSE_a_CR,SSE_a_NR,Cx_CR,Cy_CR,Cz_CR,Cx_NR,Cy_NR,Cz_NR,Tx_CR,Ty_CR,Tz_CR,Tx_NR,Ty_NR,Tz_NR,el_minor_CR,el_minor_NR,el_major_CR,el_major_NR,el_q_CR,el_q_NR,el_rot_CR,el_rot_NR,el_ssum_CR,el_ssum_NR,el_ssumXY_CR,el_ssumXY_NR,el_ssumZ_CR,el_ssumZ_NR,el_Cx_CR,el_Cy_CR,el_Cz_CR,el_Cx_NR,el_Cy_NR,el_Cz_NR,el_ Tx_CR,el_ Ty_CR,el_ Tz_CR,el_ Tx_NR,el_ Ty_NR,el_ Tz_NR
0,37.598334021958166,36.63678343840159,146.70510899215776,161.84609369954322,4.9235959740481885,5.459855670407713,141.78151301810956,156.3862380291355,-0.9163530049234601,5.446110604950033,32.6059992656352,1.7048805845646555,8.695201958876343,2.325268298875861,-0.2387828255451321,0.22285269311573075,-0.9451557752009714,-0.1701036750094127,-0.08486549023139967,0.981765037224323,35.9,30.3,42.0,45.0,0.85,0.67,-0.297,-0.345,468.7,216.6,326.9,60.2,141.8,156.4,-0.8141487175827667,5.161031424582792,32.51296138350259,1.7216142725140307,8.878091029142746,2.343976881608346,-0.2387828255451321,0.22285269311573075,-0.9451557752009714,-0.1701036750094127,-0.08486549023139967,0.981765037224323
1,40.31758891858939,42.702280548821854,132.95120882768455,103.21990342173035,5.881507788870626,1.9078243814615001,127.06970103881393,101.31207904026886,-1.496286578497127,4.394917530566125,30.207142873792733,6.442675967578802,-0.9084315906633301,4.2701445842193015,-0.013003204602357293,0.24406948721289404,0.9696705636873298,-0.0202953972754011,0.10015289064924249,-0.9947650452966442,34.8,42.6,48.5,43.2,0.72,0.99,-0.363,0.171,329.3,159.1,202.2,57.8,127.1,101.3,-1.913109329272492,4.653528558106694,30.13646000998583,6.546378401619334,-0.9801075411389855,4.260812495429754,-0.013003204602357293,0.24406948721289404,0.9696705636873298,-0.0202953972754011,0.10015289064924249,-0.9947650452966442
2,42.712912019258944,43.184324209251955,177.99184588638272,310.60616184884026,4.68623797876735,3.759459338056171,173.30560790761538,306.8467025107841,-2.7674190269083505,0.037482877009704096,31.284786924233547,4.3088930120895,1.0671205548829867,1.1021444368406033,0.17340462726554823,-0.1995592545007468,-0.9644205198905725,-0.0979889570410641,-0.34749715654196556,-0.9325469910375848,37.1,39.5,49.6,47.9,0.75,0.82,-0.835,-0.092,218.9,397.7,45.6,90.8,173.3,306.8,-2.895974354662824,0.10424007303783542,31.24785894081793,4.460162187104475,0.9205339247494417,1.1408724889531434,0.17340462726554823,-0.1995592545007468,-0.9644205198905725,-0.0979889570410641,-0.34749715654196556,-0.9325469910375848
3,38.300778362401516,35.858240965170324,178.2598838274371,99.34350309805059,4.525520593415375,4.741317344280978,173.73436323402174,94.60218575376962,-5.444133212297288,-2.5601401464607303,32.565676675287925,-8.070356522177565,-1.3317972520613808,0.5295898956506504,0.12202847393043544,0.026980170005850068,0.9921598268306695,0.0706316262833452,-0.027078463365684757,-0.997134860583223,33.5,33.0,44.4,40.8,0.75,0.81,-0.519,-1.412,245.3,294.5,71.6,199.9,173.7,94.6,-5.0588692316618165,-2.499239315610155,32.516635896704315,-8.295095327659263,-1.5889546264086019,0.5206540524343575,0.12202847393043544,0.026980170005850068,0.9921598268306695,0.0706316262833452,-0.027078463365684757,-0.997134860583223
4,44.54236363673748,46.26286385250222,173.87183909487038,130.3618055428861,9.120876681851044,2.798329884566661,164.75096241301935,127.56347565831943,6.035112120018139,-10.991316911859482,31.423175651602524,6.525729845576409,1.8812185793941072,1.8294272489538088,-0.1625726700520174,0.10428952049484252,0.9811696198247855,0.06679393933258831,0.027339737625122873,-0.9973921537765496,35.2,43.8,58.9,49.3,0.6,0.89,-1.438,-0.957,379.9,193.8,215.2,66.3,164.8,127.6,5.662194263406499,-10.107214260092025,31.267413701586413,6.266316520067502,1.9692182654578012,1.8144668850272097,-0.1625726700520174,0.10428952049484252,0.9811696198247855,0.06679393933258831,0.027339737625122873,-0.9973921537765496
5,36.12515516990875,36.133696538626424,124.29870141889589,99.95669100694997,4.909471872143968,4.550717415485626,119.38922954675192,95.40597359146435,4.408814310898235,2.90932941675854,33.08621020384463,-6.828423663446459,0.7140413505800423,2.637781656613493,-0.23004131098497532,-0.09783226964589986,0.9682509190577853,-0.09886455175191139,0.0521278464471836,-0.9937346165006391,32.2,31.9,42.0,42.0,0.77,0.76,1.275,1.071,285.3,199.4,165.9,104.0,119.4,95.4,4.650291802402502,2.5949365191183658,33.11181516583779,-6.853962817486875,0.8336034724762539,2.6465943041775604,-0.23004131098497532,-0.09783226964589986,0.9682509190577853,-0.09886455175191139,0.0521278464471836,-0.9937346165006391
6,40.954419767550185,41.57919497692636,118.02714357834853,393.8215315575435,4.136989534413073,5.870758326363816,113.89015404393545,387.95077323117965,6.427385921548131,-3.7125389065080476,34.38298887030782,-9.330250723087392,-1.5272673663742458,1.7853061839018696,0.1369577657883636,0.16976660116537956,0.9759210375430046,-0.049300582627074326,0.24692201416756931,-0.9677804355700013,37.0,34.8,46.1,50.5,0.8,0.69,0.475,0.498,200.9,466.9,87.0,78.9,113.9,388.0,6.319583945296411,-3.7041727526546744,34.39666213258741,-10.00700086096618,-1.2478051435749105,1.8910838450998266,0.1369577657883636,0.16976660116537956,0.9759210375430046,-0.049300582627074326,0.24692201416756931,-0.9677804355700013
7,35.48043694974456,34.920152726323835,70.04441688682526,147.05357861326414,2.1376252315404307,6.277494635055274,67.90679165528483,140.77608397820887,10.21875561725057,-7.05982761216406,32.15261111474493,4.933084493584943,-12.60604814594891,3.2129440624732526,-0.19607373524935381,0.1733590664701764,0.9651433698772194,-0.08870159588245792,-0.07384319258370681,-0.9933172754950708,33.3,30.5,38.1,42.3,0.88,0.72,-0.861,0.303,97.1,403.2,29.2,262.5,67.9,140.8,9.926787175864595,-7.029527473030638,32.08785374432491,4.878066258841105,-12.249561827733386,3.191355912187289,-0.19607373524935381,0.1733590664701764,0.9651433698772194,-0.08870159588245792,-0.07384319258370681,-0.9933172754950708
8,38.64843008851794,39.573120848548925,108.59939475005291,169.62615163679553,7.654430295795311,7.19699190276588,100.9449644542576,162.42915973402964,2.630532510828179,-5.649408935465289,31.63647855894514,-3.0343395938504596,-0.46864717234968034,5.793465585320704,0.23202817397627573,0.06409244753186816,0.9705952218358639,-0.06468625839651451,-0.2240181021470109,-0.9724358991137207,31.3,32.9,50.0,49.6,0.63,0.66,-0.191,-0.324,292.4,373.9,191.5,211.4,100.9,162.4,2.8894291327832153,-6.084830991900826,31.603340084315413,-3.4347073272718776,-0.5804373255662467,5.845850846566665,0.23202817397627573,0.06409244753186816,0.9705952218358639,-0.06468625839651451,-0.2240181021470109,-0.9724358991137207
9,39.59667209138132,39.92134071207522,119.52710405064583,113.96581636217189,7.596726804271888,4.076521965759052,111.93037724637395,109.88929439641284,-6.527469161500767,2.593914384843081,33.006845801590714,0.8223246877475205,7.227274293615172,3.750339756656312,-0.030078929697817284,0.0469648952027395,0.998443567061669,-0.007893872521974626,0.1810270268180362,-0.9834464410114202,33.6,35.7,49.8,45.3,0.67,0.79,-1.441,0.907,435.8,187.1,323.8,77.2,111.9,109.9,-6.573850151393599,2.059216721915697,33.03059970211414,0.6643919276140255,7.406998764618094,3.784690064206257,-0.030078929697817284,0.0469648952027395,0.998443567061669,-0.007893872521974626,0.1810270268180362,-0.9834464410114202
